%--------Zone T=  1D-Reactive Shock Tube 
%----------------------------------------------------------------
Time steps =00000400, DATAPACKING=POINT 
X  Rho  U  P  H2  O2  O  OH  H2O  H  HO2  H2O2  N2  T
-.997500E+01    0.942245E-04    0.862075E+02    0.506092E+06    0.173695E-01    0.137852E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.844779E+00    0.149951E+04
-.992500E+01    0.942056E-04    0.103166E+03    0.505958E+06    0.173695E-01    0.137852E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.844779E+00    0.149942E+04
-.987500E+01    0.941835E-04    0.122892E+03    0.505802E+06    0.173695E-01    0.137852E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.844779E+00    0.149930E+04
-.982500E+01    0.941579E-04    0.145717E+03    0.505621E+06    0.173695E-01    0.137852E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.844779E+00    0.149917E+04
-.977500E+01    0.941285E-04    0.171992E+03    0.505413E+06    0.173695E-01    0.137852E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.844779E+00    0.149903E+04
-.972500E+01    0.940948E-04    0.202086E+03    0.505174E+06    0.173695E-01    0.137852E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.844779E+00    0.149886E+04
-.967500E+01    0.940565E-04    0.236377E+03    0.504903E+06    0.173695E-01    0.137852E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.844779E+00    0.149866E+04
-.962500E+01    0.940130E-04    0.275257E+03    0.504595E+06    0.173695E-01    0.137852E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.844779E+00    0.149844E+04
-.957500E+01    0.939639E-04    0.319119E+03    0.504249E+06    0.173695E-01    0.137852E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.844779E+00    0.149819E+04
-.952500E+01    0.939089E-04    0.368360E+03    0.503860E+06    0.173695E-01    0.137852E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.844779E+00    0.149791E+04
-.947500E+01    0.938475E-04    0.423374E+03    0.503425E+06    0.173695E-01    0.137852E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.844779E+00    0.149760E+04
-.942500E+01    0.937792E-04    0.484546E+03    0.502943E+06    0.173695E-01    0.137852E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.844779E+00    0.149726E+04
-.937500E+01    0.937037E-04    0.552249E+03    0.502409E+06    0.173695E-01    0.137852E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.844779E+00    0.149687E+04
-.932500E+01    0.936205E-04    0.626841E+03    0.501822E+06    0.173695E-01    0.137852E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.844779E+00    0.149645E+04
-.927500E+01    0.935294E-04    0.708656E+03    0.501179E+06    0.173695E-01    0.137852E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.844779E+00    0.149599E+04
-.922500E+01    0.934299E-04    0.798006E+03    0.500477E+06    0.173695E-01    0.137852E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.844779E+00    0.149549E+04
-.917500E+01    0.933218E-04    0.895173E+03    0.499714E+06    0.173695E-01    0.137852E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.844779E+00    0.149494E+04
-.912500E+01    0.932049E-04    0.100041E+04    0.498890E+06    0.173695E-01    0.137852E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.844779E+00    0.149434E+04
-.907500E+01    0.930789E-04    0.111393E+04    0.498002E+06    0.173695E-01    0.137852E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.844779E+00    0.149370E+04
-.902500E+01    0.929437E-04    0.123592E+04    0.497049E+06    0.173695E-01    0.137852E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.844779E+00    0.149301E+04
-.897500E+01    0.927991E-04    0.136654E+04    0.496030E+06    0.173695E-01    0.137852E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.844779E+00    0.149227E+04
-.892500E+01    0.926450E-04    0.150588E+04    0.494946E+06    0.173695E-01    0.137852E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.844779E+00    0.149149E+04
-.887500E+01    0.924814E-04    0.165402E+04    0.493795E+06    0.173695E-01    0.137852E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.844779E+00    0.149065E+04
-.882500E+01    0.923084E-04    0.181101E+04    0.492578E+06    0.173695E-01    0.137852E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.844779E+00    0.148977E+04
-.877500E+01    0.921258E-04    0.197684E+04    0.491295E+06    0.173695E-01    0.137852E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.844779E+00    0.148883E+04
-.872500E+01    0.919339E-04    0.215149E+04    0.489947E+06    0.173695E-01    0.137852E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.844779E+00    0.148785E+04
-.867500E+01    0.917327E-04    0.233490E+04    0.488535E+06    0.173695E-01    0.137852E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.844779E+00    0.148681E+04
-.862500E+01    0.915224E-04    0.252699E+04    0.487060E+06    0.173695E-01    0.137852E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.844779E+00    0.148573E+04
-.857500E+01    0.913031E-04    0.272764E+04    0.485524E+06    0.173695E-01    0.137852E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.844779E+00    0.148460E+04
-.852500E+01    0.910751E-04    0.293671E+04    0.483927E+06    0.173695E-01    0.137852E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.844779E+00    0.148342E+04
-.847500E+01    0.908386E-04    0.315405E+04    0.482273E+06    0.173695E-01    0.137852E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.844779E+00    0.148220E+04
-.842500E+01    0.905938E-04    0.337948E+04    0.480561E+06    0.173695E-01    0.137852E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.844779E+00    0.148093E+04
-.837500E+01    0.903410E-04    0.361281E+04    0.478796E+06    0.173695E-01    0.137852E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.844779E+00    0.147962E+04
-.832500E+01    0.900805E-04    0.385383E+04    0.476978E+06    0.173695E-01    0.137852E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.844779E+00    0.147826E+04
-.827500E+01    0.898125E-04    0.410234E+04    0.475110E+06    0.173695E-01    0.137852E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.844779E+00    0.147687E+04
-.822500E+01    0.895375E-04    0.435812E+04    0.473194E+06    0.173695E-01    0.137852E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.844779E+00    0.147543E+04
-.817500E+01    0.892556E-04    0.462092E+04    0.471232E+06    0.173695E-01    0.137852E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.844779E+00    0.147395E+04
-.812500E+01    0.889671E-04    0.489052E+04    0.469227E+06    0.173695E-01    0.137852E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.844779E+00    0.147244E+04
-.807500E+01    0.886725E-04    0.516670E+04    0.467181E+06    0.173695E-01    0.137852E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.844779E+00    0.147089E+04
-.802500E+01    0.883720E-04    0.544920E+04    0.465096E+06    0.173695E-01    0.137852E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.844779E+00    0.146931E+04
-.797500E+01    0.880658E-04    0.573780E+04    0.462975E+06    0.173695E-01    0.137852E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.844779E+00    0.146769E+04
-.792500E+01    0.877544E-04    0.603226E+04    0.460819E+06    0.173695E-01    0.137852E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.844779E+00    0.146604E+04
-.787500E+01    0.874379E-04    0.633236E+04    0.458630E+06    0.173695E-01    0.137852E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.844779E+00    0.146436E+04
-.782500E+01    0.871168E-04    0.663787E+04    0.456412E+06    0.173695E-01    0.137852E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.844779E+00    0.146265E+04
-.777500E+01    0.867911E-04    0.694858E+04    0.454165E+06    0.173695E-01    0.137852E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.844779E+00    0.146091E+04
-.772500E+01    0.864614E-04    0.726425E+04    0.451893E+06    0.173695E-01    0.137852E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.844779E+00    0.145914E+04
-.767500E+01    0.861277E-04    0.758469E+04    0.449596E+06    0.173695E-01    0.137852E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.844779E+00    0.145735E+04
-.762500E+01    0.857904E-04    0.790969E+04    0.447277E+06    0.173695E-01    0.137852E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.844779E+00    0.145553E+04
-.757500E+01    0.854497E-04    0.823905E+04    0.444938E+06    0.173695E-01    0.137852E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.844779E+00    0.145369E+04
-.752500E+01    0.851059E-04    0.857259E+04    0.442580E+06    0.173695E-01    0.137852E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.000000E+00    0.844779E+00    0.145183E+04
